NAME = AISearchfile021
SIZE = 21
[0, 345, 165, 77, 500, 130, 835, 97, 29, 640, 125, 615, 455, 680, 490, 36, 285, 540, 170, 27, 320]
[345, 0, 480, 495, 105, 280, 370, 280, 150, 240, 140, 350, 340, 280, 310, 305, 165, 380, 380, 505, 185]
[165, 480, 0, 270, 475, 230, 420, 205, 475, 125, 750, 480, 265, 255, 200, 650, 715, 310, 140, 235, 125]
[77, 495, 270, 0, 380, 310, 660, 215, 225, 440, 170, 345, 625, 450, 690, 545, 190, 180, 290, 430, 420]
[500, 105, 475, 380, 0, 110, 590, 475, 240, 430, 485, 645, 600, 175, 295, 120, 495, 155, 425, 91, 280]
[130, 280, 230, 310, 110, 0, 605, 570, 96, 63, 170, 625, 465, 150, 605, 320, 78, 480, 390, 320, 700]
[835, 370, 420, 660, 590, 605, 0, 865, 545, 705, 265, 655, 81, 235, 520, 480, 250, 610, 205, 610, 360]
[97, 280, 205, 215, 475, 570, 865, 0, 605, 160, 405, 285, 345, 400, 120, 415, 91, 385, 395, 67, 365]
[29, 150, 475, 225, 240, 96, 545, 605, 0, 240, 315, 190, 170, 485, 390, 510, 355, 350, 155, 90, 625]
[640, 240, 125, 440, 430, 63, 705, 160, 240, 0, 600, 555, 575, 320, 380, 535, 175, 200, 150, 440, 155]
[125, 140, 750, 170, 485, 170, 265, 405, 315, 600, 0, 495, 160, 445, 235, 87, 375, 525, 240, 220, 240]
[615, 350, 480, 345, 645, 625, 655, 285, 190, 555, 495, 0, 480, 755, 750, 585, 515, 775, 255, 235, 585]
[455, 340, 265, 625, 600, 465, 81, 345, 170, 575, 160, 480, 0, 440, 440, 295, 415, 245, 480, 435, 380]
[680, 280, 255, 450, 175, 150, 235, 400, 485, 320, 445, 755, 440, 0, 350, 385, 435, 265, 590, 650, 370]
[490, 310, 200, 690, 295, 605, 520, 120, 390, 380, 235, 750, 440, 350, 0, 425, 350, 460, 100, 575, 370]
[36, 305, 650, 545, 120, 320, 480, 415, 510, 535, 87, 585, 295, 385, 425, 0, 635, 390, 220, 300, 370]
[285, 165, 715, 190, 495, 78, 250, 91, 355, 175, 375, 515, 415, 435, 350, 635, 0, 585, 205, 430, 350]
[540, 380, 310, 180, 155, 480, 610, 385, 350, 200, 525, 775, 245, 265, 460, 390, 585, 0, 255, 48, 590]
[170, 380, 140, 290, 425, 390, 205, 395, 155, 150, 240, 255, 480, 590, 100, 220, 205, 255, 0, 220, 515]
[27, 505, 235, 430, 91, 320, 610, 67, 90, 440, 220, 235, 435, 650, 575, 300, 430, 48, 220, 0, 68]
[320, 185, 125, 420, 280, 700, 360, 365, 625, 155, 240, 585, 380, 370, 370, 370, 350, 590, 515, 68, 0]
