NAME = AISearchfile058
SIZE = 58
[0, 1444, 1634, 531, 1678, 1511, 283, 561, 3579, 1565, 3434, 1152, 970, 3724, 1072, 1230, 290, 4480, 413, 435, 1041, 3643, 1889, 3926, 949, 1402, 709, 1232, 938, 1102, 2725, 3039, 2925, 1019, 3590, 802, 5265, 176, 1468, 675, 4113, 1407, 213, 4052, 489, 818, 478, 4108, 3616, 2133, 3305, 1763, 1407, 3754, 547, 3639, 2517, 1839]
[1444, 0, 974, 1353, 2128, 964, 1398, 1041, 2149, 1442, 3173, 455, 1009, 3459, 1101, 894, 1686, 3045, 2009, 2070, 941, 2973, 2553, 3684, 950, 1433, 1177, 696, 887, 760, 2286, 2585, 2692, 1004, 3322, 1081, 3830, 1609, 1488, 926, 2688, 1063, 1740, 3388, 1298, 2266, 673, 3586, 2952, 693, 2906, 1972, 772, 3583, 1935, 3380, 2624, 1175]
[1634, 974, 0, 1507, 1608, 359, 1495, 1202, 2388, 908, 2211, 754, 919, 2493, 983, 607, 1838, 3289, 2199, 2265, 774, 2013, 1238, 2718, 880, 1348, 1332, 517, 1383, 721, 1350, 1619, 1726, 827, 2359, 991, 4074, 1705, 1174, 1109, 2922, 459, 1930, 2422, 1452, 2358, 875, 2620, 1986, 932, 1946, 1438, 490, 2617, 2087, 2414, 1612, 209]
[531, 1353, 1507, 0, 1416, 1249, 254, 300, 3495, 1297, 3165, 856, 707, 3462, 810, 968, 476, 4396, 1096, 960, 1079, 3512, 1627, 3658, 687, 1140, 178, 978, 945, 846, 2159, 2566, 2678, 757, 3328, 691, 5181, 474, 1214, 374, 4029, 1145, 806, 3864, 138, 992, 652, 3841, 3428, 2044, 3049, 1646, 1127, 3486, 730, 3371, 2393, 1651]
[1678, 2128, 1608, 1416, 0, 1248, 1485, 1117, 4265, 694, 1925, 1290, 700, 2366, 618, 1019, 1824, 5166, 2243, 2309, 871, 3937, 456, 2417, 802, 279, 1246, 1148, 1755, 1050, 1210, 1557, 1441, 781, 2265, 772, 5951, 1695, 257, 1231, 4799, 1188, 1971, 2844, 1342, 2353, 1225, 2636, 2413, 2819, 1658, 248, 1135, 2245, 2082, 2130, 1002, 1282]
[1511, 964, 359, 1249, 1248, 0, 1311, 950, 2513, 557, 2305, 589, 590, 2655, 692, 282, 1672, 3414, 2076, 2134, 419, 2364, 881, 2918, 497, 993, 1078, 288, 1174, 546, 1408, 2031, 1917, 508, 2623, 662, 4199, 1421, 817, 1064, 3047, 112, 1798, 2649, 1191, 2179, 728, 2846, 2213, 1062, 2166, 1057, 234, 2746, 1931, 2651, 1811, 436]
[283, 1398, 1495, 254, 1485, 1311, 0, 368, 3535, 1367, 3236, 959, 777, 3531, 879, 1037, 359, 4436, 1494, 851, 848, 3500, 2243, 4225, 756, 1210, 432, 1039, 788, 909, 2532, 2841, 2727, 826, 3397, 702, 5221, 224, 1275, 482, 4069, 1214, 701, 3929, 189, 887, 758, 3906, 3493, 2089, 3124, 1570, 1214, 3551, 606, 3441, 2324, 1716]
[561, 1041, 1202, 300, 1117, 950, 368, 0, 3190, 1003, 2866, 591, 408, 3163, 511, 669, 711, 4091, 1126, 1192, 480, 3207, 1328, 3359, 388, 846, 129, 671, 638, 5410, 1860, 2267, 2379, 458, 3029, 392, 4876, 578, 915, 114, 3724, 846, 854, 3565, 250, 1236, 390, 3542, 3129, 1734, 2601, 1347, 846, 3187, 965, 3072, 2094, 1352]
[3579, 2149, 2388, 3495, 4265, 2513, 3535, 3190, 0, 3060, 4549, 2590, 3073, 4835, 3236, 2761, 3825, 901, 4144, 4505, 2942, 4391, 3385, 5060, 3083, 3481, 3314, 2667, 3024, 2902, 3718, 4182, 4068, 3140, 4701, 3145, 1686, 3752, 3307, 3061, 544, 2613, 3875, 4764, 3440, 4408, 2808, 4962, 4328, 1456, 4316, 3590, 2959, 4959, 4002, 4848, 4038, 2551]
[1565, 1442, 908, 1297, 694, 557, 1367, 1003, 3060, 0, 1863, 991, 586, 2223, 563, 523, 1710, 3961, 2130, 2196, 660, 2824, 324, 2355, 668, 434, 1126, 750, 1511, 706, 851, 1260, 1354, 584, 2089, 658, 4746, 1577, 260, 1106, 3594, 494, 1861, 2929, 1247, 2230, 996, 2535, 2493, 1609, 1600, 524, 666, 2183, 1959, 2068, 1116, 716]
[3434, 3173, 2211, 3165, 1925, 2305, 3236, 2866, 4549, 1863, 0, 2860, 2444, 343, 2354, 2392, 3579, 5480, 3999, 4065, 2529, 2109, 1545, 549, 2537, 2204, 2995, 2619, 3380, 2575, 1006, 770, 656, 2453, 211, 2527, 6265, 3547, 2004, 2975, 5123, 2406, 3730, 1608, 3110, 4099, 2865, 1052, 1172, 3131, 307, 1684, 2535, 372, 3828, 257, 936, 2010]
