NAME = AISearchfile017
SIZE = 17
[0, 239, 140, 448, 420, 53, 123, 518, 57, 240, 246, 202, 199, 383, 268, 207, 165]
[239, 0, 292, 250, 567, 324, 282, 35, 154, 208, 528, 352, 353, 61, 74, 110, 324]
[140, 292, 0, 91, 189, 314, 338, 55, 228, 412, 157, 661, 360, 488, 336, 105, 196]
[448, 250, 91, 0, 439, 95, 264, 96, 390, 227, 289, 257, 444, 112, 184, 309, 77]
[420, 567, 189, 439, 0, 70, 27, 84, 254, 68, 472, 287, 191, 47, 211, 346, 83]
[53, 324, 314, 95, 70, 0, 437, 297, 435, 297, 237, 578, 638, 329, 466, 240, 421]
[123, 282, 338, 264, 27, 437, 0, 36, 249, 175, 332, 232, 505, 372, 243, 259, 555]
[518, 35, 55, 96, 84, 297, 36, 0, 336, 301, 121, 153, 29, 238, 142, 236, 390]
[57, 154, 228, 390, 254, 435, 249, 336, 0, 383, 483, 633, 495, 267, 145, 29, 63]
[240, 208, 412, 227, 68, 297, 175, 301, 383, 0, 542, 169, 196, 150, 326, 154, 572]
[246, 528, 157, 289, 472, 237, 332, 121, 483, 542, 0, 426, 364, 685, 745, 349, 202]
[202, 352, 661, 257, 287, 578, 232, 153, 633, 169, 426, 0, 402, 120, 391, 34, 351]
[199, 353, 360, 444, 191, 638, 505, 29, 495, 196, 364, 402, 0, 476, 182, 289, 262]
[383, 61, 488, 112, 47, 329, 372, 238, 267, 150, 685, 120, 476, 0, 108, 530, 80]
[268, 74, 336, 184, 211, 466, 243, 142, 145, 326, 745, 391, 182, 108, 0, 105, 150]
[207, 110, 105, 309, 346, 240, 259, 236, 29, 154, 349, 34, 289, 530, 105, 0, 134]
[165, 324, 196, 77, 83, 421, 555, 390, 63, 572, 202, 351, 262, 80, 150, 134, 0]
