NAME = AISearchfile042
SIZE = 42
[0, 147, 59, 36, 26, 178, 84, 114, 106, 129, 127, 71, 95, 155, 48, 117, 54, 46, 123, 165, 83, 80, 118, 174, 31, 27, 107, 116, 84, 138, 41, 133, 155, 90, 94, 159, 135, 118, 185, 143, 29, 35]
[147, 0, 47, 71, 13, 121, 172, 59, 30, 65, 46, 36, 30, 25, 52, 63, 37, 43, 59, 126, 46, 172, 37, 124, 17, 98, 62, 37, 38, 99, 136, 97, 41, 53, 148, 57, 45, 67, 158, 71, 93, 23]
[59, 47, 0, 113, 30, 96, 51, 25, 85, 75, 35, 91, 87, 55, 111, 85, 39, 42, 98, 61, 47, 53, 70, 71, 12, 71, 38, 109, 53, 126, 66, 130, 63, 150, 56, 51, 53, 62, 57, 98, 69, 29]
[36, 71, 113, 0, 15, 34, 50, 41, 43, 110, 30, 50, 117, 50, 105, 63, 32, 36, 83, 32, 72, 48, 97, 30, 3, 93, 91, 186, 44, 77, 48, 45, 42, 192, 34, 66, 96, 97, 33, 115, 91, 9]
[26, 13, 30, 15, 0, 31, 27, 30, 28, 26, 14, 20, 15, 15, 21, 24, 21, 47, 41, 45, 18, 49, 21, 48, 8, 37, 17, 32, 20, 76, 32, 41, 23, 32, 50, 25, 29, 15, 43, 49, 12, 39]
[178, 121, 96, 34, 31, 0, 63, 134, 140, 124, 136, 141, 67, 123, 59, 115, 72, 62, 130, 123, 105, 68, 101, 142, 27, 21, 104, 78, 90, 170, 28, 161, 104, 90, 94, 122, 102, 110, 142, 120, 27, 34]
[84, 172, 51, 50, 27, 63, 0, 90, 32, 28, 78, 34, 125, 49, 64, 43, 59, 69, 36, 73, 45, 114, 151, 69, 5, 80, 72, 176, 27, 59, 85, 57, 75, 188, 118, 147, 178, 77, 78, 48, 44, 55]
[114, 59, 25, 41, 30, 134, 90, 0, 41, 86, 67, 31, 18, 42, 32, 52, 32, 24, 59, 160, 53, 130, 26, 146, 9, 64, 51, 57, 49, 85, 83, 111, 69, 61, 164, 74, 41, 47, 133, 84, 46, 24]
[106, 30, 85, 43, 28, 140, 32, 41, 0, 108, 44, 83, 45, 89, 42, 60, 27, 31, 88, 63, 39, 36, 46, 142, 8, 22, 66, 83, 36, 93, 26, 112, 97, 111, 51, 42, 38, 64, 75, 126, 38, 28]
[129, 65, 75, 110, 26, 124, 28, 86, 108, 0, 79, 115, 79, 86, 88, 117, 61, 51, 108, 105, 77, 50, 70, 111, 11, 77, 71, 108, 68, 185, 35, 146, 67, 77, 84, 79, 64, 66, 126, 145, 116, 46]
