NAME = AISearchfile048
SIZE = 48
[0, 1259, 205, 1286, 961, 285, 586, 642, 820, 397, 565, 780, 569, 397, 1011, 915, 1317, 1506, 1155, 1579, 2198, 405, 1356, 1573, 847, 1149, 604, 1210, 972, 1300, 745, 835, 846, 235, 1153, 1163, 642, 563, 754, 706, 1114, 2336, 1060, 652, 582, 919, 2114, 679]
[1259, 0, 410, 1985, 913, 456, 1058, 862, 847, 690, 649, 915, 723, 943, 882, 1143, 293, 2091, 663, 451, 664, 260, 371, 969, 1214, 740, 337, 428, 388, 552, 325, 869, 543, 816, 780, 479, 483, 478, 325, 1086, 723, 1403, 813, 2085, 591, 524, 1376, 547]
[205, 410, 0, 1107, 1590, 1070, 521, 178, 743, 836, 330, 362, 1010, 483, 744, 1320, 2136, 2699, 1499, 1244, 1298, 1479, 387, 2108, 949, 779, 528, 1306, 919, 781, 259, 472, 115, 257, 344, 1828, 317, 660, 715, 608, 1137, 738, 703, 445, 853, 375, 2117, 467]
[1286, 1985, 1107, 0, 1239, 982, 686, 2385, 1969, 2412, 2439, 947, 1427, 2156, 1252, 1475, 1950, 2013, 1304, 2172, 1758, 2066, 1583, 1888, 1836, 825, 2290, 1576, 2445, 2115, 1005, 2063, 1633, 2055, 1849, 2165, 1371, 2708, 1969, 2540, 1885, 177, 1497, 2425, 945, 1759, 2493, 685]
[961, 913, 1590, 1239, 0, 1796, 488, 355, 1252, 557, 1291, 500, 653, 238, 702, 426, 1995, 2121, 1690, 973, 2485, 1374, 1837, 940, 229, 1692, 521, 1056, 1525, 1152, 983, 1335, 579, 818, 1552, 1479, 572, 1496, 533, 924, 358, 603, 973, 1763, 341, 2072, 1785, 231]
[285, 456, 1070, 982, 1796, 0, 432, 985, 1467, 1399, 879, 331, 908, 455, 1207, 1488, 863, 1645, 1749, 503, 959, 1604, 689, 2237, 374, 1493, 1137, 902, 831, 197, 821, 1023, 720, 1009, 626, 699, 1473, 770, 1219, 649, 1017, 998, 1079, 1181, 676, 341, 1872, 455]
[586, 1058, 521, 686, 488, 432, 0, 703, 580, 607, 878, 883, 1315, 817, 1729, 622, 166, 2405, 598, 1753, 1171, 721, 1699, 768, 123, 1098, 1282, 491, 1397, 794, 847, 529, 463, 918, 745, 1144, 290, 492, 739, 526, 669, 592, 390, 732, 661, 525, 2285, 1038]
[642, 862, 178, 2385, 355, 985, 703, 0, 413, 605, 862, 907, 1191, 1119, 1051, 1104, 214, 2043, 2300, 783, 742, 748, 371, 1489, 805, 1157, 812, 220, 708, 235, 699, 792, 731, 1123, 1056, 1511, 1524, 511, 939, 776, 630, 1508, 700, 983, 396, 543, 2026, 568]
[820, 847, 743, 1969, 1252, 1467, 580, 413, 0, 1473, 1474, 803, 1878, 161, 1507, 763, 370, 653, 1982, 881, 1427, 2421, 833, 290, 1125, 578, 384, 776, 1338, 173, 776, 1580, 180, 442, 227, 400, 697, 1226, 1114, 355, 819, 519, 1501, 326, 361, 740, 2138, 875]
[397, 690, 836, 2412, 557, 1399, 607, 605, 1473, 0, 1094, 188, 1049, 197, 1235, 1264, 1612, 1744, 2145, 1089, 1356, 1018, 636, 1614, 999, 757, 129, 1903, 866, 1199, 1272, 937, 644, 290, 538, 999, 744, 820, 1105, 669, 617, 2435, 803, 2339, 1560, 335, 701, 559]
