NAME = AISearchfile026
SIZE = 26
[0, 109, 78, 78, 116, 91, 135, 196, 26, 169, 65, 54, 100, 71, 84, 81, 158, 58, 64, 84, 116, 71, 87, 61, 72, 51]
[109, 0, 188, 136, 141, 188, 139, 127, 93, 125, 64, 155, 111, 116, 100, 148, 179, 132, 202, 122, 157, 197, 194, 65, 80, 181]
[78, 188, 0, 156, 61, 181, 98, 257, 44, 74, 92, 159, 133, 117, 142, 63, 230, 141, 152, 110, 173, 155, 125, 87, 68, 128]
[78, 136, 156, 0, 55, 135, 82, 223, 15, 91, 24, 152, 36, 81, 67, 34, 198, 76, 127, 74, 156, 156, 128, 31, 32, 103]
[116, 141, 61, 55, 0, 85, 54, 157, 9, 151, 11, 43, 103, 76, 77, 139, 102, 82, 74, 70, 94, 93, 100, 49, 64, 79]
[91, 188, 181, 135, 85, 0, 91, 280, 22, 80, 54, 175, 153, 156, 146, 89, 222, 119, 172, 103, 180, 124, 165, 112, 106, 148]
[135, 139, 98, 82, 54, 91, 0, 205, 37, 93, 34, 66, 64, 62, 89, 65, 163, 95, 68, 114, 93, 62, 77, 63, 55, 51]
[196, 127, 257, 223, 157, 280, 205, 0, 51, 154, 102, 250, 178, 210, 190, 186, 220, 189, 272, 212, 268, 241, 278, 128, 186, 197]
[26, 93, 44, 15, 9, 22, 37, 51, 0, 39, 83, 73, 18, 23, 11, 11, 50, 20, 33, 22, 26, 68, 13, 40, 42, 9]
[169, 125, 74, 91, 151, 80, 93, 154, 39, 0, 35, 37, 95, 63, 92, 91, 144, 88, 75, 44, 113, 93, 87, 46, 59, 81]
[65, 64, 92, 24, 11, 54, 34, 102, 83, 35, 0, 62, 36, 34, 11, 42, 77, 39, 34, 59, 90, 63, 29, 93, 53, 107]
[54, 155, 159, 152, 43, 175, 66, 250, 73, 37, 62, 0, 102, 127, 86, 42, 206, 93, 112, 100, 181, 148, 139, 53, 56, 121]
[100, 111, 133, 36, 103, 153, 64, 178, 18, 95, 36, 102, 0, 68, 99, 88, 140, 98, 88, 98, 111, 96, 78, 56, 92, 130]
[71, 116, 117, 81, 76, 156, 62, 210, 23, 63, 34, 127, 68, 0, 95, 40, 172, 31, 117, 66, 148, 130, 135, 27, 20, 99]
[84, 100, 142, 67, 77, 146, 89, 190, 11, 92, 11, 86, 99, 95, 0, 83, 160, 89, 124, 54, 122, 122, 98, 26, 47, 107]
[81, 148, 63, 34, 139, 89, 65, 186, 11, 91, 42, 42, 88, 40, 83, 0, 107, 90, 87, 62, 53, 68, 109, 62, 133, 37]
[158, 179, 230, 198, 102, 222, 163, 220, 50, 144, 77, 206, 140, 172, 160, 107, 0, 129, 228, 140, 185, 223, 193, 136, 135, 161]
[58, 132, 141, 76, 82, 119, 95, 189, 20, 88, 39, 93, 98, 31, 89, 90, 129, 0, 70, 110, 92, 86, 74, 75, 71, 130]
[64, 202, 152, 127, 74, 172, 68, 272, 33, 75, 34, 112, 88, 117, 124, 87, 228, 70, 0, 62, 147, 160, 185, 26, 96, 160]
[84, 122, 110, 74, 70, 103, 114, 212, 22, 44, 59, 100, 98, 66, 54, 62, 140, 110, 62, 0, 83, 68, 82, 52, 71, 95]
[116, 157, 173, 156, 94, 180, 93, 268, 26, 113, 90, 181, 111, 148, 122, 53, 185, 92, 147, 83, 0, 157, 180, 87, 64, 190]
[71, 197, 155, 156, 93, 124, 62, 241, 68, 93, 63, 148, 96, 130, 122, 68, 223, 86, 160, 68, 157, 0, 147, 46, 30, 182]
[87, 194, 125, 128, 100, 165, 77, 278, 13, 87, 29, 139, 78, 135, 98, 109, 193, 74, 185, 82, 180, 147, 0, 38, 39, 190]
[61, 65, 87, 31, 49, 112, 63, 128, 40, 46, 93, 53, 56, 27, 26, 62, 136, 75, 26, 52, 87, 46, 38, 0, 129, 58]
[72, 80, 68, 32, 64, 106, 55, 186, 42, 59, 53, 56, 92, 20, 47, 133, 135, 71, 96, 71, 64, 30, 39, 129, 0, 27]
[51, 181, 128, 103, 79, 148, 51, 197, 9, 81, 107, 121, 130, 99, 107, 37, 161, 130, 160, 95, 190, 182, 190, 58, 27, 0]
