NAME = AISearchfile012
SIZE = 12
[0, 32, 8, 32, 21, 3, 25, 40, 16, 5, 10, 3]
[32, 0, 21, 5, 13, 15, 30, 7, 9, 31, 14, 40]
[8, 21, 0, 35, 11, 4, 7, 12, 14, 17, 13, 8]
[32, 5, 35, 0, 20, 30, 50, 12, 6, 30, 10, 53]
[21, 13, 11, 20, 0, 9, 6, 5, 25, 27, 35, 29]
[3, 15, 4, 30, 9, 0, 10, 9, 15, 8, 9, 6]
[25, 30, 7, 50, 6, 10, 0, 20, 32, 40, 34, 20]
[40, 7, 12, 12, 5, 9, 20, 0, 21, 50, 31, 30]
[16, 9, 14, 6, 25, 15, 32, 21, 0, 15, 4, 15]
[5, 31, 17, 30, 27, 8, 40, 50, 15, 0, 4, 2]
[10, 14, 13, 10, 35, 9, 34, 31, 4, 4, 0, 7]
[3, 40, 8, 53, 29, 6, 20, 30, 15, 2, 7, 0]
